case_id,complaint_id,client_complaint_id,task_id,description,asset_id,asset_type,section_id,state,city,reported_at,target_department,target_fault_category,target_base_priority,target_final_priority,target_human_review_required,target_confidence,status,resolution_type,reopened,reopening_reason,deferred,deferral_reason,safety_explanation,verified_by,notes
C-201,C-201,C-20260801-1000,T-201,Escalator/machinery breakdown reported at station in S-02.,STN-S02-01,Station Machinery,S-02,Andhra Pradesh,Krishna Canal Junction,2026-08-01T09:15:00+05:30,Electrical,Station machinery breakdown,Low,Low,True,0.76,Emergency,,False,,False,,Safety-critical asset; failure could compromise signal integrity.,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-202,C-202,C-20260813-1001,T-202,Escalator/machinery breakdown reported at station in S-01.,STN-S01-02,Station Machinery,S-01,Andhra Pradesh,Vijayawada,2026-08-13T09:15:00+05:30,Electrical,Station machinery breakdown,Low,Low,False,0.81,Completed,Recalibrated,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-203,C-203,C-20260704-1002,T-203,Point machine not switching correctly at S-04.,PM-S04-02,Point Machine,S-04,Andhra Pradesh,Guntur,2026-07-04T09:15:00+05:30,Signalling,Point machine failure,Medium,Medium,False,0.79,Completed,Adjusted,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-204,C-204,C-20260714-1003,T-204,Point machine not switching correctly at S-04.,PM-S04-02,Point Machine,S-04,Andhra Pradesh,Guntur,2026-07-14T09:15:00+05:30,Signalling,Point machine failure,Critical,Critical,True,0.58,Completed,Adjusted,False,,False,,Unsafe condition reported near running line; immediate attention flagged.,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-205,C-205,C-20260811-1004,T-205,Point machine not switching correctly at S-04.,PM-S04-02,Point Machine,S-04,Andhra Pradesh,Guntur,2026-08-11T09:15:00+05:30,Signalling,Point machine failure,Medium,Medium,True,0.65,Completed,Repaired,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-206,C-206,C-20260709-1005,T-206,Rail alignment appears off after recent inspection near S-04.,TRK-S04-01,Track,S-04,Andhra Pradesh,Guntur,2026-07-09T09:15:00+05:30,Track,Rail misalignment,Critical,Critical,True,0.83,Completed,No Fault Found,False,,False,,Unsafe condition reported near running line; immediate attention flagged.,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-207,C-207,C-20260726-1006,T-207,Point machine not switching correctly at S-01.,PM-S01-01,Point Machine,S-01,Andhra Pradesh,Vijayawada,2026-07-26T09:15:00+05:30,Signalling,Point machine failure,Low,Low,True,0.62,Completed,Repaired,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-208,C-208,C-20260715-1007,T-208,Escalator/machinery breakdown reported at station in S-04.,STN-S04-01,Station Machinery,S-04,Andhra Pradesh,Guntur,2026-07-15T09:15:00+05:30,Electrical,Station machinery breakdown,High,High,False,0.96,Completed,No Fault Found,True,Original repair incomplete,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-209,C-209,C-20260725-1008,T-209,Point machine not switching correctly at S-01.,PM-S01-01,Point Machine,S-01,Andhra Pradesh,Vijayawada,2026-07-25T09:15:00+05:30,Signalling,Point machine failure,Low,Low,True,0.65,Completed,Repaired,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
C-210,C-210,C-20260705-1009,T-210,Escalator/machinery breakdown reported at station in S-03.,STN-S03-01,Station Machinery,S-03,Andhra Pradesh,Tenali,2026-07-05T09:15:00+05:30,Electrical,Station machinery breakdown,High,High,True,0.74,Completed,No Fault Found,False,,False,,,role2_data_lead,Synthetic case for SIH prototype. Not real railway data.
