record_id,asset_id,task_id,scheduled_date,maintenance_date,started_at,completed_at,maintenance_type,fault_category,root_cause,performed_by,inspection_result,defects_found,corrective_action,materials_used,work_performed,resolution_type,downtime_minutes,completion_status,next_due_date,remarks
R-501,ELE-S03-01,T-101,2026-01-14,2026-01-14,2026-01-14T09:00:00+05:30,,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,No Fault Found,False,,None required,No Fault Found during preventive visit,,30,Awaiting Materials,2026-04-14,Synthetic record — not real railway data.
R-502,PM-S03-01,T-102,2025-11-27,2025-11-27,2025-11-27T09:00:00+05:30,2025-11-27T11:00:00+05:30,Corrective,Point machine failure,Wear and tear,TEAM-SIG-01,Satisfactory,True,No Fault Found,None required,Repaired during corrective visit,Adjusted,0,Completed,2026-02-25,Synthetic record — not real railway data.
R-503,STN-S01-02,T-103,2026-08-02,2026-08-02,2026-08-02T09:00:00+05:30,2026-08-02T11:00:00+05:30,Corrective,Station machinery breakdown,Manufacturing defect,TEAM-ELE-01,Minor Defect Found,True,Recalibrated,Insulation tape,Replaced during corrective visit,Adjusted,15,Completed,2026-10-31,Synthetic record — not real railway data.
R-504,PM-S03-01,T-104,2025-09-15,2025-09-15,2025-09-15T09:00:00+05:30,2025-09-15T10:00:00+05:30,Corrective,Point machine failure,Corrosion,TEAM-SIG-01,Major Defect Found,True,Repaired,Signal lamp,Replaced during corrective visit,No Fault Found,45,Completed,2025-12-14,Synthetic record — not real railway data.
R-505,STN-S01-02,T-105,2026-01-01,2026-01-01,2026-01-01T09:00:00+05:30,2026-01-01T13:00:00+05:30,Corrective,Station machinery breakdown,Wear and tear,TEAM-ELE-01,Satisfactory,True,Repaired,Signal lamp,Replaced during corrective visit,Replaced,45,Completed,2026-04-01,Synthetic record — not real railway data.
R-506,ELE-S03-02,T-106,2025-12-15,2025-12-15,2025-12-15T09:00:00+05:30,,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,No Fault Found,False,,Cable splice kit,Recalibrated during preventive visit,,0,Interrupted,2026-03-15,Synthetic record — not real railway data.
R-507,TRK-S01-01,T-107,2025-08-27,2025-08-27,2025-08-27T09:00:00+05:30,,Corrective,Track fracture,Component failure,TEAM-TRK-RESERVE-01,Major Defect Found,True,Replaced,Rail clip set,Cleaned/Tested during corrective visit,,60,Emergency,2025-11-25,Synthetic record — not real railway data.
R-508,ELE-S01-01,T-108,2026-07-18,2026-07-18,2026-07-18T09:00:00+05:30,2026-07-18T10:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,Satisfactory,False,,Signal lamp,Repaired during preventive visit,Recalibrated,30,Completed,2026-10-16,Synthetic record — not real railway data.
R-509,PM-S03-01,T-109,2025-09-07,2025-09-07,2025-09-07T09:00:00+05:30,2025-09-07T10:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-SIG-01,No Fault Found,False,,None required,Cleaned/Tested during preventive visit,Replaced,30,Completed,2025-12-06,Synthetic record — not real railway data.
R-510,TRK-S02-01,T-110,2026-03-10,2026-03-10,2026-03-10T09:00:00+05:30,2026-03-10T13:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-TRK-RESERVE-01,Major Defect Found,False,,Rail clip set,Repaired during preventive visit,Adjusted,0,Completed,2026-06-08,Synthetic record — not real railway data.
R-511,STN-S04-01,T-111,2025-11-03,2025-11-03,2025-11-03T09:00:00+05:30,2025-11-03T10:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,Minor Defect Found,True,Adjusted,Cable splice kit,Replaced during preventive visit,Adjusted,30,Completed,2026-02-01,Synthetic record — not real railway data.
R-512,TRK-S03-01,T-112,2025-11-13,2025-11-13,2025-11-13T09:00:00+05:30,2025-11-13T10:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-TRK-RESERVE-01,Minor Defect Found,False,,Cable splice kit,Repaired during preventive visit,No Fault Found,0,Completed,2026-02-11,Synthetic record — not real railway data.
R-513,TRK-S01-02,T-113,2025-11-08,2025-11-08,2025-11-08T09:00:00+05:30,2025-11-08T13:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-TRK-RESERVE-01,Major Defect Found,False,,Rail clip set,Repaired during preventive visit,Adjusted,30,Completed,2026-02-06,Synthetic record — not real railway data.
R-514,PM-S01-01,T-114,2026-03-30,2026-03-30,2026-03-30T09:00:00+05:30,2026-03-30T13:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-SIG-RESERVE-01,Satisfactory,False,,Rail clip set,Repaired during preventive visit,Adjusted,30,Completed,2026-06-28,Synthetic record — not real railway data.
R-515,PM-S04-01,T-115,2025-08-30,2025-08-30,2025-08-30T09:00:00+05:30,2025-08-30T10:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-SIG-01,Major Defect Found,True,Adjusted,Rail clip set,Adjusted during preventive visit,Cleaned/Tested,30,Completed,2025-11-28,Synthetic record — not real railway data.
R-516,SIG-S01-01,T-116,2026-04-13,2026-04-13,2026-04-13T09:00:00+05:30,2026-04-13T11:00:00+05:30,Corrective,Signal malfunction,Overdue inspection,TEAM-SIG-01,No Fault Found,True,Repaired,Signal lamp,No Fault Found during corrective visit,Recalibrated,120,Completed,2026-10-10,Synthetic record — not real railway data.
R-517,ELE-S04-01,T-117,2026-01-20,2026-01-20,2026-01-20T09:00:00+05:30,2026-01-20T13:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,Satisfactory,False,,Insulation tape,Replaced during preventive visit,Replaced,15,Completed,2026-04-20,Synthetic record — not real railway data.
R-518,STN-S01-02,T-118,2025-12-26,2025-12-26,2025-12-26T09:00:00+05:30,2025-12-26T13:00:00+05:30,Corrective,Station machinery breakdown,External interference,TEAM-ELE-01,Satisfactory,True,Adjusted,Cable splice kit,No Fault Found during corrective visit,Repaired,15,Completed,2026-03-26,Synthetic record — not real railway data.
R-519,ELE-S03-02,T-119,2025-09-05,2025-09-05,2025-09-05T09:00:00+05:30,2025-09-05T10:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,Satisfactory,False,,Point machine spare,Recalibrated during preventive visit,Adjusted,0,Completed,2025-12-04,Synthetic record — not real railway data.
R-520,SIG-S01-01,T-120,2026-03-11,2026-03-11,2026-03-11T09:00:00+05:30,2026-03-11T12:00:00+05:30,Corrective,Signal malfunction,Corrosion,TEAM-SIG-01,Satisfactory,True,Cleaned/Tested,Point machine spare,No Fault Found during corrective visit,Recalibrated,0,Completed,2026-09-07,Synthetic record — not real railway data.
R-521,ELE-S01-01,T-121,2025-09-09,2025-09-09,2025-09-09T09:00:00+05:30,2025-09-09T12:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,Major Defect Found,False,,None required,Recalibrated during preventive visit,Adjusted,30,Completed,2025-12-08,Synthetic record — not real railway data.
R-522,SIG-S02-01,T-122,2025-08-27,2025-08-27,2025-08-27T09:00:00+05:30,2025-08-27T11:00:00+05:30,Corrective,Axle counter error,External interference,TEAM-SIG-RESERVE-01,No Fault Found,True,Cleaned/Tested,Rail clip set,Adjusted during corrective visit,No Fault Found,45,Completed,2026-02-23,Synthetic record — not real railway data.
R-523,TRK-S01-02,T-123,2026-01-10,2026-01-10,2026-01-10T09:00:00+05:30,2026-01-10T11:00:00+05:30,Corrective,Rail misalignment,Overdue inspection,TEAM-TRK-RESERVE-01,Satisfactory,True,Adjusted,Point machine spare,No Fault Found during corrective visit,Recalibrated,45,Completed,2026-04-10,Synthetic record — not real railway data.
R-524,PM-S03-01,T-124,2026-02-28,2026-02-28,2026-02-28T09:00:00+05:30,,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-SIG-01,Minor Defect Found,False,,Signal lamp,Repaired during preventive visit,,0,Not Completed,2026-05-29,Synthetic record — not real railway data.
R-525,SIG-S03-01,T-125,2025-12-18,2025-12-18,2025-12-18T09:00:00+05:30,,Corrective,Track circuit failure,Component failure,TEAM-SIG-RESERVE-01,No Fault Found,True,Recalibrated,Insulation tape,Replaced during corrective visit,,0,Not Completed,2026-06-16,Synthetic record — not real railway data.
R-526,ELE-S03-01,T-126,2025-08-31,2025-08-31,2025-08-31T09:00:00+05:30,,Corrective,Cable insulation fault,Component failure,TEAM-ELE-01,Minor Defect Found,True,No Fault Found,Point machine spare,Recalibrated during corrective visit,,120,Interrupted,2025-11-29,Synthetic record — not real railway data.
R-527,TRK-S03-01,T-127,2026-04-13,2026-04-13,2026-04-13T09:00:00+05:30,2026-04-13T13:00:00+05:30,Corrective,Rail misalignment,Manufacturing defect,TEAM-TRK-RESERVE-01,Minor Defect Found,True,No Fault Found,Insulation tape,Recalibrated during corrective visit,Recalibrated,120,Completed,2026-07-12,Synthetic record — not real railway data.
R-528,TRK-S01-02,T-128,2026-04-14,2026-04-14,2026-04-14T09:00:00+05:30,2026-04-14T12:00:00+05:30,Corrective,Rail misalignment,Weather damage,TEAM-TRK-01,Major Defect Found,True,Replaced,Cable splice kit,Adjusted during corrective visit,No Fault Found,45,Completed,2026-07-13,Synthetic record — not real railway data.
R-529,TRK-S03-01,T-129,2025-11-15,2025-11-15,2025-11-15T09:00:00+05:30,2025-11-15T11:00:00+05:30,Corrective,Track fracture,Corrosion,TEAM-TRK-01,No Fault Found,True,Adjusted,Point machine spare,Recalibrated during corrective visit,No Fault Found,45,Completed,2026-02-13,Synthetic record — not real railway data.
R-530,STN-S03-01,T-130,2026-05-05,2026-05-05,2026-05-05T09:00:00+05:30,2026-05-05T13:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,Satisfactory,False,,Cable splice kit,Adjusted during preventive visit,Repaired,30,Completed,2026-08-03,Synthetic record — not real railway data.
R-531,STN-S01-02,T-131,2026-01-16,2026-01-16,2026-01-16T09:00:00+05:30,2026-01-16T11:00:00+05:30,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,Major Defect Found,False,,Insulation tape,Recalibrated during preventive visit,,30,Partially Completed,2026-04-16,Synthetic record — not real railway data.
R-532,STN-S02-01,T-132,2026-02-27,2026-02-27,2026-02-27T09:00:00+05:30,2026-02-27T11:00:00+05:30,Corrective,Station machinery breakdown,Corrosion,TEAM-ELE-01,Satisfactory,True,Repaired,None required,Recalibrated during corrective visit,Replaced,90,Completed,2026-05-28,Synthetic record — not real railway data.
R-533,STN-S03-01,T-133,2025-12-25,2025-12-25,2025-12-25T09:00:00+05:30,2025-12-25T12:00:00+05:30,Corrective,Station machinery breakdown,Corrosion,TEAM-ELE-01,Major Defect Found,True,Recalibrated,Cable splice kit,Repaired during corrective visit,Replaced,30,Completed,2026-03-25,Synthetic record — not real railway data.
R-534,SIG-S02-02,T-134,2025-11-15,2025-11-15,2025-11-15T09:00:00+05:30,,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-SIG-01,Satisfactory,False,,Rail clip set,Replaced during preventive visit,,15,Emergency,2026-05-14,Synthetic record — not real railway data.
R-535,ELE-S02-01,T-135,2026-08-08,2026-08-08,2026-08-08T09:00:00+05:30,2026-08-08T11:00:00+05:30,Corrective,Cable insulation fault,External interference,TEAM-ELE-01,Major Defect Found,True,Replaced,Point machine spare,Cleaned/Tested during corrective visit,No Fault Found,45,Completed,2026-11-06,Synthetic record — not real railway data.
R-536,STN-S01-02,T-136,2026-06-21,2026-06-21,2026-06-21T09:00:00+05:30,,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,Major Defect Found,True,Cleaned/Tested,None required,Recalibrated during preventive visit,,15,Not Completed,2026-09-19,Synthetic record — not real railway data.
R-537,STN-S01-02,T-137,2026-05-09,2026-05-09,2026-05-09T09:00:00+05:30,2026-05-09T10:00:00+05:30,Corrective,Station machinery breakdown,Vibration fatigue,TEAM-ELE-01,No Fault Found,True,No Fault Found,Cable splice kit,Repaired during corrective visit,No Fault Found,0,Completed,2026-08-07,Synthetic record — not real railway data.
R-538,ELE-S04-01,T-138,2026-02-25,2026-02-25,2026-02-25T09:00:00+05:30,,Preventive,Routine Inspection,Scheduled Preventive Check,TEAM-ELE-01,No Fault Found,True,No Fault Found,Signal lamp,Recalibrated during preventive visit,,15,Not Completed,2026-05-26,Synthetic record — not real railway data.
R-539,STN-S03-01,T-139,2025-11-24,2025-11-24,2025-11-24T09:00:00+05:30,2025-11-24T13:00:00+05:30,Corrective,Station machinery breakdown,Vibration fatigue,TEAM-ELE-01,Minor Defect Found,True,Repaired,Cable splice kit,Recalibrated during corrective visit,Recalibrated,120,Completed,2026-02-22,Synthetic record — not real railway data.
R-540,PM-S03-01,T-140,2025-12-24,2025-12-24,2025-12-24T09:00:00+05:30,2025-12-24T12:00:00+05:30,Corrective,Point machine failure,Manufacturing defect,TEAM-SIG-RESERVE-01,Minor Defect Found,True,Adjusted,Cable splice kit,Adjusted during corrective visit,Repaired,30,Completed,2026-03-24,Synthetic record — not real railway data.
