completion_report_id,task_id,receiver_department,received_by,received_at,work_status,completion_percentage,inspection_result,failure_reason,remaining_work_minutes,material_status,safety_status,next_action,remarks,created_at
CR-601,T-201,Electrical,TEAM-ELE-01,2026-08-22T18:30:00+05:30,Emergency,75,Unsafe Condition Confirmed,,60,Available,Unsafe,Notify authorized railway control role; restrict ordinary scheduling.,Synthetic receiver report — not real railway data.,2026-08-20T10:35:00+05:30
CR-602,T-202,Electrical,TEAM-ELE-01,2026-08-23T12:30:00+05:30,Completed,100,No Fault Found,,0,Awaiting Materials,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-20T13:35:00+05:30
CR-603,T-203,Signalling,TEAM-SIG-01,2026-08-20T07:30:00+05:30,Completed,100,Minor Defect Found,,0,Awaiting Materials,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-21T20:35:00+05:30
CR-604,T-204,Signalling,TEAM-SIG-01,2026-08-20T08:30:00+05:30,Completed,100,No Fault Found,,0,Available,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-22T13:35:00+05:30
CR-605,T-205,Signalling,TEAM-SIG-01,2026-08-23T14:30:00+05:30,Completed,100,Major Defect Found,,0,Partially Available,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-20T17:35:00+05:30
CR-606,T-206,Track,TEAM-TRK-01,2026-08-21T20:30:00+05:30,Completed,100,No Fault Found,,0,Partially Available,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-20T20:35:00+05:30
CR-607,T-207,Signalling,TEAM-SIG-01,2026-08-23T10:30:00+05:30,Completed,100,Major Defect Found,,0,Available,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-23T13:35:00+05:30
CR-608,T-208,Electrical,TEAM-ELE-01,2026-08-23T14:30:00+05:30,Completed,100,Minor Defect Found,,0,Awaiting Materials,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-21T07:35:00+05:30
CR-609,T-209,Signalling,TEAM-SIG-01,2026-08-21T19:30:00+05:30,Completed,100,Satisfactory,,0,Partially Available,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-21T12:35:00+05:30
CR-610,T-210,Electrical,TEAM-ELE-01,2026-08-22T10:30:00+05:30,Completed,100,No Fault Found,,0,Awaiting Materials,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-22T09:35:00+05:30
CR-611,T-211,Electrical,TEAM-ELE-01,2026-08-23T16:30:00+05:30,Completed,100,No Fault Found,,0,Awaiting Materials,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-22T14:35:00+05:30
CR-612,T-212,Signalling,TEAM-SIG-01,2026-08-22T14:30:00+05:30,Completed,100,Major Defect Found,,0,Partially Available,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-21T17:35:00+05:30
CR-613,T-213,Electrical,TEAM-ELE-01,2026-08-20T11:30:00+05:30,Completed,100,Minor Defect Found,,0,Available,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-20T12:35:00+05:30
CR-614,T-214,Signalling,TEAM-SIG-RESERVE-01,2026-08-22T13:30:00+05:30,Partially Completed,75,No Fault Found,Required block not granted,60,Available,Unsafe,Resume remaining work in next window.,Synthetic receiver report — not real railway data.,2026-08-22T13:35:00+05:30
CR-615,T-215,Track,TEAM-TRK-RESERVE-01,2026-08-21T18:30:00+05:30,Completed,100,Major Defect Found,,0,Available,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-20T11:35:00+05:30
CR-616,T-216,Electrical,TEAM-ELE-01,2026-08-21T19:30:00+05:30,Not Completed,0,Minor Defect Found,Required block not granted,90,Awaiting Materials,Verified,Return task to scheduling queue.,Synthetic receiver report — not real railway data.,2026-08-21T10:35:00+05:30
CR-617,T-217,Signalling,TEAM-SIG-01,2026-08-21T17:30:00+05:30,Completed,100,Minor Defect Found,,0,Awaiting Materials,Verified,Close task and schedule next maintenance.,Synthetic receiver report — not real railway data.,2026-08-23T17:35:00+05:30
CR-618,T-218,Signalling,TEAM-SIG-RESERVE-01,2026-08-23T16:30:00+05:30,Emergency,25,Unsafe Condition Confirmed,,45,Partially Available,Unsafe,Notify authorized railway control role; restrict ordinary scheduling.,Synthetic receiver report — not real railway data.,2026-08-22T08:35:00+05:30
CR-619,T-219,Electrical,TEAM-ELE-01,2026-08-22T19:30:00+05:30,Partially Completed,60,Major Defect Found,Required block not granted,30,Awaiting Materials,Not Applicable,Resume remaining work in next window.,Synthetic receiver report — not real railway data.,2026-08-21T20:35:00+05:30
CR-620,T-220,Signalling,TEAM-SIG-RESERVE-01,2026-08-21T19:30:00+05:30,Not Completed,0,Satisfactory,Required block not granted,60,Partially Available,Unsafe,Return task to scheduling queue.,Synthetic receiver report — not real railway data.,2026-08-23T09:35:00+05:30
