case_id,previous_status,new_status,changed_by,change_timestamp
TC-001,New,Assigned,system,2025-01-01 08:00:00
TC-002,New,Assigned,system,2025-01-01 08:00:00
TC-003,New,Assigned,system,2025-01-01 08:00:00
TC-004,New,Assigned,system,2025-01-01 08:00:00
TC-005,New,Assigned,system,2025-01-01 08:00:00
TC-006,New,Assigned,system,2025-01-01 08:00:00
TC-007,New,Assigned,system,2025-01-01 08:00:00
TC-008,New,Assigned,system,2025-01-01 08:00:00
TC-009,New,Assigned,system,2025-01-01 08:00:00
TC-010,New,Assigned,system,2025-01-01 08:00:00
TC-011,New,Assigned,system,2025-01-01 08:00:00
TC-012,New,Assigned,system,2025-01-01 08:00:00
TC-013,New,Assigned,system,2025-01-01 08:00:00
TC-014,New,Assigned,system,2025-01-01 08:00:00
TC-015,New,Assigned,system,2025-01-01 08:00:00
TC-016,New,Assigned,system,2025-01-01 08:00:00
TC-017,New,Assigned,system,2025-01-01 08:00:00
TC-018,New,Assigned,system,2025-01-01 08:00:00
TC-019,New,Assigned,system,2025-01-01 08:00:00
TC-020,New,Assigned,system,2025-01-01 08:00:00
TC-021,New,Assigned,system,2025-01-01 08:00:00
TC-022,New,Assigned,system,2025-01-01 08:00:00
TC-023,New,Assigned,system,2025-01-01 08:00:00
TC-024,New,Assigned,system,2025-01-01 08:00:00
TC-025,New,Assigned,system,2025-01-01 08:00:00
TC-026,New,Assigned,system,2025-01-01 08:00:00
TC-027,New,Assigned,system,2025-01-01 08:00:00
TC-028,New,Assigned,system,2025-01-01 08:00:00
TC-029,New,Assigned,system,2025-01-01 08:00:00
TC-030,New,Assigned,system,2025-01-01 08:00:00
TC-031,New,Assigned,system,2025-01-01 08:00:00
TC-032,New,Assigned,system,2025-01-01 08:00:00
TC-033,New,Assigned,system,2025-01-01 08:00:00
TC-034,New,Assigned,system,2025-01-01 08:00:00
TC-035,New,Assigned,system,2025-01-01 08:00:00
TC-036,New,Assigned,system,2025-01-01 08:00:00
TC-037,New,Assigned,system,2025-01-01 08:00:00
TC-038,New,Assigned,system,2025-01-01 08:00:00
TC-039,New,Assigned,system,2025-01-01 08:00:00
TC-040,New,Assigned,system,2025-01-01 08:00:00
TC-041,New,Assigned,system,2025-01-01 08:00:00
TC-042,New,Assigned,system,2025-01-01 08:00:00
TC-043,New,Assigned,system,2025-01-01 08:00:00
TC-044,New,Assigned,system,2025-01-01 08:00:00
TC-045,New,Assigned,system,2025-01-01 08:00:00
TC-046,New,Assigned,system,2025-01-01 08:00:00
TC-047,New,Assigned,system,2025-01-01 08:00:00
TC-048,New,Assigned,system,2025-01-01 08:00:00
TC-049,New,Assigned,system,2025-01-01 08:00:00
TC-050,New,Assigned,system,2025-01-01 08:00:00
TC-051,New,Assigned,system,2025-01-01 08:00:00
TC-052,New,Assigned,system,2025-01-01 08:00:00
TC-053,New,Assigned,system,2025-01-01 08:00:00
TC-054,New,Assigned,system,2025-01-01 08:00:00
TC-055,New,Assigned,system,2025-01-01 08:00:00
TC-056,New,Assigned,system,2025-01-01 08:00:00
TC-057,New,Assigned,system,2025-01-01 08:00:00
TC-058,New,Assigned,system,2025-01-01 08:00:00
TC-059,New,Assigned,system,2025-01-01 08:00:00
TC-060,New,Assigned,system,2025-01-01 08:00:00
TC-061,New,Assigned,system,2025-01-01 08:00:00
TC-062,New,Assigned,system,2025-01-01 08:00:00
TC-063,New,Assigned,system,2025-01-01 08:00:00
TC-064,New,Assigned,system,2025-01-01 08:00:00
TC-065,New,Assigned,system,2025-01-01 08:00:00
TC-066,New,Assigned,system,2025-01-01 08:00:00
TC-067,New,Assigned,system,2025-01-01 08:00:00
TC-068,New,Assigned,system,2025-01-01 08:00:00
TC-069,New,Assigned,system,2025-01-01 08:00:00
TC-070,New,Assigned,system,2025-01-01 08:00:00
TC-071,New,Assigned,system,2025-01-01 08:00:00
TC-072,New,Assigned,system,2025-01-01 08:00:00
TC-073,New,Assigned,system,2025-01-01 08:00:00
TC-074,New,Assigned,system,2025-01-01 08:00:00
TC-075,New,Assigned,system,2025-01-01 08:00:00
TC-076,New,Assigned,system,2025-01-01 08:00:00
TC-077,New,Assigned,system,2025-01-01 08:00:00
TC-078,New,Assigned,system,2025-01-01 08:00:00
TC-079,New,Assigned,system,2025-01-01 08:00:00
TC-080,New,Assigned,system,2025-01-01 08:00:00
TC-081,New,Assigned,system,2025-01-01 08:00:00
TC-082,New,Assigned,system,2025-01-01 08:00:00
TC-083,New,Assigned,system,2025-01-01 08:00:00
TC-084,New,Assigned,system,2025-01-01 08:00:00
TC-085,New,Assigned,system,2025-01-01 08:00:00
TC-086,New,Assigned,system,2025-01-01 08:00:00
TC-087,New,Assigned,system,2025-01-01 08:00:00
TC-088,New,Assigned,system,2025-01-01 08:00:00
TC-089,New,Assigned,system,2025-01-01 08:00:00
TC-090,New,Assigned,system,2025-01-01 08:00:00
TC-091,New,Assigned,system,2025-01-01 08:00:00
TC-092,New,Assigned,system,2025-01-01 08:00:00
TC-093,New,Assigned,system,2025-01-01 08:00:00
TC-094,New,Assigned,system,2025-01-01 08:00:00
TC-095,New,Assigned,system,2025-01-01 08:00:00
TC-096,New,Assigned,system,2025-01-01 08:00:00
TC-097,New,Assigned,system,2025-01-01 08:00:00
TC-098,New,Assigned,system,2025-01-01 08:00:00
TC-099,New,Assigned,system,2025-01-01 08:00:00
TC-100,New,Assigned,system,2025-01-01 08:00:00
TC-101,New,Assigned,system,2025-01-01 08:00:00
TC-102,New,Assigned,system,2025-01-01 08:00:00
TC-103,New,Assigned,system,2025-01-01 08:00:00
TC-104,New,Assigned,system,2025-01-01 08:00:00
TC-105,New,Assigned,system,2025-01-01 08:00:00
TC-106,New,Assigned,system,2025-01-01 08:00:00
TC-107,New,Assigned,system,2025-01-01 08:00:00
TC-108,New,Assigned,system,2025-01-01 08:00:00
TC-109,New,Assigned,system,2025-01-01 08:00:00
TC-110,New,Assigned,system,2025-01-01 08:00:00
TC-111,New,Assigned,system,2025-01-01 08:00:00
TC-112,New,Assigned,system,2025-01-01 08:00:00
TC-113,New,Assigned,system,2025-01-01 08:00:00
TC-114,New,Assigned,system,2025-01-01 08:00:00
TC-115,New,Assigned,system,2025-01-01 08:00:00
TC-116,New,Assigned,system,2025-01-01 08:00:00
TC-117,New,Assigned,system,2025-01-01 08:00:00
TC-118,New,Assigned,system,2025-01-01 08:00:00
TC-119,New,Assigned,system,2025-01-01 08:00:00
TC-120,New,Assigned,system,2025-01-01 08:00:00
TC-121,New,Assigned,system,2025-01-01 08:00:00
TC-122,New,Assigned,system,2025-01-01 08:00:00
TC-123,New,Assigned,system,2025-01-01 08:00:00
TC-124,New,Assigned,system,2025-01-01 08:00:00
TC-125,New,Assigned,system,2025-01-01 08:00:00
TC-126,New,Assigned,system,2025-01-01 08:00:00
TC-127,New,Assigned,system,2025-01-01 08:00:00
TC-128,New,Assigned,system,2025-01-01 08:00:00
TC-129,New,Assigned,system,2025-01-01 08:00:00
TC-130,New,Assigned,system,2025-01-01 08:00:00
TC-131,New,Assigned,system,2025-01-01 08:00:00
TC-132,New,Assigned,system,2025-01-01 08:00:00
TC-133,New,Assigned,system,2025-01-01 08:00:00
TC-134,New,Assigned,system,2025-01-01 08:00:00
TC-135,New,Assigned,system,2025-01-01 08:00:00
TC-136,New,Assigned,system,2025-01-01 08:00:00
TC-137,New,Assigned,system,2025-01-01 08:00:00
TC-138,New,Assigned,system,2025-01-01 08:00:00
TC-139,New,Assigned,system,2025-01-01 08:00:00
TC-140,New,Assigned,system,2025-01-01 08:00:00
TC-141,New,Assigned,system,2025-01-01 08:00:00
TC-142,New,Assigned,system,2025-01-01 08:00:00
TC-143,New,Assigned,system,2025-01-01 08:00:00
TC-144,New,Assigned,system,2025-01-01 08:00:00
TC-145,New,Assigned,system,2025-01-01 08:00:00
TC-146,New,Assigned,system,2025-01-01 08:00:00
TC-147,New,Assigned,system,2025-01-01 08:00:00
TC-148,New,Assigned,system,2025-01-01 08:00:00
TC-149,New,Assigned,system,2025-01-01 08:00:00
TC-150,New,Assigned,system,2025-01-01 08:00:00
TC-151,New,Assigned,system,2025-01-01 08:00:00
TC-152,New,Assigned,system,2025-01-01 08:00:00
TC-153,New,Assigned,system,2025-01-01 08:00:00
TC-154,New,Assigned,system,2025-01-01 08:00:00
TC-155,New,Assigned,system,2025-01-01 08:00:00
TC-156,New,Assigned,system,2025-01-01 08:00:00
TC-157,New,Assigned,system,2025-01-01 08:00:00
TC-158,New,Assigned,system,2025-01-01 08:00:00
TC-159,New,Assigned,system,2025-01-01 08:00:00
TC-160,New,Assigned,system,2025-01-01 08:00:00
TC-161,New,Assigned,system,2025-01-01 08:00:00
TC-162,New,Assigned,system,2025-01-01 08:00:00
TC-163,New,Assigned,system,2025-01-01 08:00:00
TC-164,New,Assigned,system,2025-01-01 08:00:00
TC-165,New,Assigned,system,2025-01-01 08:00:00
TC-166,New,Assigned,system,2025-01-01 08:00:00
TC-167,New,Assigned,system,2025-01-01 08:00:00
TC-168,New,Assigned,system,2025-01-01 08:00:00
TC-169,New,Assigned,system,2025-01-01 08:00:00
TC-170,New,Assigned,system,2025-01-01 08:00:00
TC-171,New,Assigned,system,2025-01-01 08:00:00
TC-172,New,Assigned,system,2025-01-01 08:00:00
TC-173,New,Assigned,system,2025-01-01 08:00:00
TC-174,New,Assigned,system,2025-01-01 08:00:00
TC-175,New,Assigned,system,2025-01-01 08:00:00
TC-176,New,Assigned,system,2025-01-01 08:00:00
TC-177,New,Assigned,system,2025-01-01 08:00:00
TC-178,New,Assigned,system,2025-01-01 08:00:00
TC-179,New,Assigned,system,2025-01-01 08:00:00
TC-180,New,Assigned,system,2025-01-01 08:00:00
TC-181,New,Assigned,system,2025-01-01 08:00:00
TC-182,New,Assigned,system,2025-01-01 08:00:00
TC-183,New,Assigned,system,2025-01-01 08:00:00
TC-184,New,Assigned,system,2025-01-01 08:00:00
TC-185,New,Assigned,system,2025-01-01 08:00:00
TC-186,New,Assigned,system,2025-01-01 08:00:00
TC-187,New,Assigned,system,2025-01-01 08:00:00
TC-188,New,Assigned,system,2025-01-01 08:00:00
TC-189,New,Assigned,system,2025-01-01 08:00:00
TC-190,New,Assigned,system,2025-01-01 08:00:00
TC-191,New,Assigned,system,2025-01-01 08:00:00
TC-192,New,Assigned,system,2025-01-01 08:00:00
TC-193,New,Assigned,system,2025-01-01 08:00:00
TC-194,New,Assigned,system,2025-01-01 08:00:00
TC-195,New,Assigned,system,2025-01-01 08:00:00
TC-196,New,Assigned,system,2025-01-01 08:00:00
TC-197,New,Assigned,system,2025-01-01 08:00:00
TC-198,New,Assigned,system,2025-01-01 08:00:00
TC-199,New,Assigned,system,2025-01-01 08:00:00
TC-200,New,Assigned,system,2025-01-01 08:00:00
